코드,일정,구분,크루즈,종류,금액,시작일자,끝일자,비고,별도요금
R2813,2박3일,아동,캐서린 크루즈,빌라 프레지던트,"7,000,000",2025-05-01,2025-12-23,신용카드,
R2814,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"9,400,000",2025-05-01,2025-12-23,신용카드,
R2815,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"10,000,000",2025-05-01,2025-12-23,신용카드,
R2816,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"10,500,000",2025-05-01,2025-12-23,신용카드,
R2817,2박3일,엑스트라,캐서린 크루즈,로얄 스위트,"13,400,000",2025-05-01,2025-12-23,신용카드,
R2818,2박3일,엑스트라,캐서린 크루즈,그랜드 스위트,"15,000,000",2025-05-01,2025-12-23,신용카드,
R2819,2박3일,엑스트라,캐서린 크루즈,빌라 프레지던트,"28,400,000",2025-05-01,2025-12-23,신용카드,
R2820,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-05-01,2025-12-23,신용카드,
R2821,1박2일,성인,캐서린 크루즈,프리미어 스위트 (1층),"6,600,000",2025-12-24,2025-12-24,베트남동,
R2822,1박2일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"6,600,000",2025-12-24,2025-12-24,베트남동,
R2823,1박2일,성인,캐서린 크루즈,프리미어 스위트 (1층),"6,800,000",2025-12-24,2025-12-24,신용카드,
R2824,1박2일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"6,800,000",2025-12-24,2025-12-24,신용카드,
R2825,1박2일,성인,캐서린 크루즈,프리미어 스위트 (2층),"6,850,000",2025-12-24,2025-12-24,베트남동,
R2826,1박2일,성인,캐서린 크루즈,프리미어 스위트 (2층),"7,100,000",2025-12-24,2025-12-24,신용카드,
R2827,1박2일,성인,캐서린 크루즈,프리미어 스위트 (3층),"7,100,000",2025-12-24,2025-12-24,베트남동,
R2828,1박2일,성인,캐서린 크루즈,프리미어 스위트 (3층),"7,300,000",2025-12-24,2025-12-24,신용카드,
R2829,1박2일,성인,캐서린 크루즈,로얄 스위트,"8,600,000",2025-12-24,2025-12-24,베트남동,
R2830,1박2일,성인,캐서린 크루즈,로얄 스위트,"9,000,000",2025-12-24,2025-12-24,신용카드,
R2831,1박2일,성인,캐서린 크루즈,그랜드 스위트,"9,400,000",2025-12-24,2025-12-24,베트남동,
R2832,1박2일,성인,캐서린 크루즈,그랜드 스위트,"9,850,000",2025-12-24,2025-12-24,신용카드,
R2833,1박2일,성인,캐서린 크루즈,빌라 프레지던트,"16,700,000",2025-12-24,2025-12-24,베트남동,
R2834,1박2일,성인,캐서린 크루즈,빌라 프레지던트,"17,300,000",2025-12-24,2025-12-24,신용카드,
R2835,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"9,600,000",2025-12-24,2025-12-24,베트남동,
R2836,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"9,950,000",2025-12-24,2025-12-24,신용카드,
R2837,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"10,100,000",2025-12-24,2025-12-24,베트남동,
R2838,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"10,400,000",2025-12-24,2025-12-24,신용카드,
R2839,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"10,600,000",2025-12-24,2025-12-24,베트남동,
R2840,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"10,850,000",2025-12-24,2025-12-24,신용카드,
R2841,1박2일,싱글차지,캐서린 크루즈,로얄 스위트,"13,600,000",2025-12-24,2025-12-24,베트남동,
R2842,1박2일,싱글차지,캐서린 크루즈,로얄 스위트,"14,000,000",2025-12-24,2025-12-24,신용카드,
R2843,1박2일,싱글차지,캐서린 크루즈,그랜드 스위트,"15,200,000",2025-12-24,2025-12-24,베트남동,
R2844,1박2일,싱글차지,캐서린 크루즈,그랜드 스위트,"15,600,000",2025-12-24,2025-12-24,신용카드,
R2845,1박2일,싱글차지,캐서린 크루즈,빌라 프레지던트,"30,100,000",2025-12-24,2025-12-24,베트남동,
R2846,1박2일,싱글차지,캐서린 크루즈,빌라 프레지던트,"30,650,000",2025-12-24,2025-12-24,신용카드,
R2847,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-24,2025-12-24,신용카드,
R2848,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-24,2025-12-24,베트남동,
R2849,1박2일,아동,캐서린 크루즈,프리미어 스위트 (1층),"4,700,000",2025-12-24,2025-12-24,베트남동,
R2850,1박2일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"4,700,000",2025-12-24,2025-12-24,베트남동,
R2851,1박2일,아동,캐서린 크루즈,프리미어 스위트 (2층),"4,700,000",2025-12-24,2025-12-24,베트남동,
R2852,1박2일,아동,캐서린 크루즈,프리미어 스위트 (3층),"4,700,000",2025-12-24,2025-12-24,베트남동,
R2853,1박2일,아동,캐서린 크루즈,로얄 스위트,"4,700,000",2025-12-24,2025-12-24,베트남동,
R2854,1박2일,아동,캐서린 크루즈,그랜드 스위트,"4,700,000",2025-12-24,2025-12-24,베트남동,
R2855,1박2일,아동,캐서린 크루즈,빌라 프레지던트,"4,700,000",2025-12-24,2025-12-24,베트남동,
R2856,1박2일,아동,캐서린 크루즈,프리미어 스위트 (1층),"4,800,000",2025-12-24,2025-12-24,신용카드,
R2857,1박2일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"4,800,000",2025-12-24,2025-12-24,신용카드,
R2858,1박2일,아동,캐서린 크루즈,프리미어 스위트 (2층),"4,800,000",2025-12-24,2025-12-24,신용카드,
R2859,1박2일,아동,캐서린 크루즈,프리미어 스위트 (3층),"4,800,000",2025-12-24,2025-12-24,신용카드,
R2860,1박2일,아동,캐서린 크루즈,로얄 스위트,"4,800,000",2025-12-24,2025-12-24,신용카드,
R2861,1박2일,아동,캐서린 크루즈,그랜드 스위트,"4,800,000",2025-12-24,2025-12-24,신용카드,
R2862,1박2일,아동,캐서린 크루즈,빌라 프레지던트,"5,000,000",2025-12-24,2025-12-24,신용카드,
R2863,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"6,100,000",2025-12-24,2025-12-24,베트남동,
R2864,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"6,200,000",2025-12-24,2025-12-24,신용카드,
R2865,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"6,350,000",2025-12-24,2025-12-24,베트남동,
R2866,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"6,500,000",2025-12-24,2025-12-24,신용카드,
R2867,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"6,600,000",2025-12-24,2025-12-24,베트남동,
R2868,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"6,750,000",2025-12-24,2025-12-24,신용카드,
R2869,1박2일,엑스트라,캐서린 크루즈,로얄 스위트,"7,950,000",2025-12-24,2025-12-24,베트남동,
R2870,1박2일,엑스트라,캐서린 크루즈,로얄 스위트,"8,200,000",2025-12-24,2025-12-24,신용카드,
R2871,1박2일,엑스트라,캐서린 크루즈,그랜드 스위트,"8,700,000",2025-12-24,2025-12-24,베트남동,
R2872,1박2일,엑스트라,캐서린 크루즈,그랜드 스위트,"9,000,000",2025-12-24,2025-12-24,신용카드,
R2873,1박2일,엑스트라,캐서린 크루즈,빌라 프레지던트,"15,200,000",2025-12-24,2025-12-24,베트남동,
R2874,1박2일,엑스트라,캐서린 크루즈,빌라 프레지던트,"15,700,000",2025-12-24,2025-12-24,신용카드,
R2875,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-24,2025-12-24,신용카드,
R2876,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-24,2025-12-24,베트남동,
R2877,2박3일,성인,캐서린 크루즈,프리미어 스위트 (1층),"13,600,000",2025-12-24,2025-12-24,신용카드,
R2878,2박3일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"13,600,000",2025-12-24,2025-12-24,신용카드,
R2879,2박3일,성인,캐서린 크루즈,프리미어 스위트 (2층),"14,200,000",2025-12-24,2025-12-24,신용카드,
R2880,2박3일,성인,캐서린 크루즈,프리미어 스위트 (3층),"14,600,000",2025-12-24,2025-12-24,신용카드,
R2881,2박3일,성인,캐서린 크루즈,로얄 스위트,"18,000,000",2025-12-24,2025-12-24,신용카드,
R2882,2박3일,성인,캐서린 크루즈,그랜드 스위트,"19,700,000",2025-12-24,2025-12-24,신용카드,
R2883,2박3일,성인,캐서린 크루즈,빌라 프레지던트,"34,600,000",2025-12-24,2025-12-24,신용카드,
R2884,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"19,900,000",2025-12-24,2025-12-24,신용카드,
R2885,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"20,800,000",2025-12-24,2025-12-24,신용카드,
R2886,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"21,700,000",2025-12-24,2025-12-24,신용카드,
R2887,2박3일,싱글차지,캐서린 크루즈,로얄 스위트,"28,000,000",2025-12-24,2025-12-24,신용카드,
R2888,2박3일,싱글차지,캐서린 크루즈,그랜드 스위트,"31,200,000",2025-12-24,2025-12-24,신용카드,
R2889,2박3일,싱글차지,캐서린 크루즈,빌라 프레지던트,"61,300,000",2025-12-24,2025-12-24,신용카드,
R2890,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-24,2025-12-24,신용카드,
R2891,2박3일,아동,캐서린 크루즈,프리미어 스위트 (1층),"9,600,000",2025-12-24,2025-12-24,신용카드,
R2892,2박3일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"9,600,000",2025-12-24,2025-12-24,신용카드,
R2893,2박3일,아동,캐서린 크루즈,프리미어 스위트 (2층),"9,600,000",2025-12-24,2025-12-24,신용카드,
R2894,2박3일,아동,캐서린 크루즈,프리미어 스위트 (3층),"9,600,000",2025-12-24,2025-12-24,신용카드,
R2895,2박3일,아동,캐서린 크루즈,로얄 스위트,"9,600,000",2025-12-24,2025-12-24,신용카드,
R2896,2박3일,아동,캐서린 크루즈,그랜드 스위트,"9,600,000",2025-12-24,2025-12-24,신용카드,
R2897,2박3일,아동,캐서린 크루즈,빌라 프레지던트,"10,000,000",2025-12-24,2025-12-24,신용카드,
R2898,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"12,400,000",2025-12-24,2025-12-24,신용카드,
R2899,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"13,000,000",2025-12-24,2025-12-24,신용카드,
R2900,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"13,500,000",2025-12-24,2025-12-24,신용카드,
R2901,2박3일,엑스트라,캐서린 크루즈,로얄 스위트,"16,400,000",2025-12-24,2025-12-24,신용카드,
R2902,2박3일,엑스트라,캐서린 크루즈,그랜드 스위트,"18,000,000",2025-12-24,2025-12-24,신용카드,
R2903,2박3일,엑스트라,캐서린 크루즈,빌라 프레지던트,"31,400,000",2025-12-24,2025-12-24,신용카드,
R2904,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-24,2025-12-24,신용카드,
R2905,1박2일,성인,캐서린 크루즈,프리미어 스위트 (1층),"5,100,000",2025-12-25,2025-12-30,베트남동,
R2906,1박2일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"5,100,000",2025-12-25,2025-12-30,베트남동,
R2907,1박2일,성인,캐서린 크루즈,프리미어 스위트 (1층),"5,300,000",2025-12-25,2025-12-30,신용카드,
R2908,1박2일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"5,300,000",2025-12-25,2025-12-30,신용카드,
R2909,1박2일,성인,캐서린 크루즈,프리미어 스위트 (2층),"5,350,000",2025-12-25,2025-12-30,베트남동,
R2910,1박2일,성인,캐서린 크루즈,프리미어 스위트 (2층),"5,600,000",2025-12-25,2025-12-30,신용카드,
R2911,1박2일,성인,캐서린 크루즈,프리미어 스위트 (3층),"5,600,000",2025-12-25,2025-12-30,베트남동,
R2912,1박2일,성인,캐서린 크루즈,프리미어 스위트 (3층),"5,800,000",2025-12-25,2025-12-30,신용카드,
R2913,1박2일,성인,캐서린 크루즈,로얄 스위트,"7,100,000",2025-12-25,2025-12-30,베트남동,
R2914,1박2일,성인,캐서린 크루즈,로얄 스위트,"7,500,000",2025-12-25,2025-12-30,신용카드,
R2915,1박2일,성인,캐서린 크루즈,그랜드 스위트,"7,900,000",2025-12-25,2025-12-30,베트남동,
R2916,1박2일,성인,캐서린 크루즈,그랜드 스위트,"8,350,000",2025-12-25,2025-12-30,신용카드,
R2917,1박2일,성인,캐서린 크루즈,빌라 프레지던트,"15,200,000",2025-12-25,2025-12-30,베트남동,
R2918,1박2일,성인,캐서린 크루즈,빌라 프레지던트,"15,800,000",2025-12-25,2025-12-30,신용카드,
R2919,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"8,100,000",2025-12-25,2025-12-30,베트남동,
R2920,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"8,450,000",2025-12-25,2025-12-30,신용카드,
R2921,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"8,600,000",2025-12-25,2025-12-30,베트남동,
R2922,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"8,900,000",2025-12-25,2025-12-30,신용카드,
R2923,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"9,100,000",2025-12-25,2025-12-30,베트남동,
R2924,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"9,350,000",2025-12-25,2025-12-30,신용카드,
R2925,1박2일,싱글차지,캐서린 크루즈,로얄 스위트,"12,100,000",2025-12-25,2025-12-30,베트남동,
R2926,1박2일,싱글차지,캐서린 크루즈,로얄 스위트,"12,500,000",2025-12-25,2025-12-30,신용카드,
R2927,1박2일,싱글차지,캐서린 크루즈,그랜드 스위트,"13,700,000",2025-12-25,2025-12-30,베트남동,
R2928,1박2일,싱글차지,캐서린 크루즈,그랜드 스위트,"14,100,000",2025-12-25,2025-12-30,신용카드,
R2929,1박2일,싱글차지,캐서린 크루즈,빌라 프레지던트,"28,600,000",2025-12-25,2025-12-30,베트남동,
R2930,1박2일,싱글차지,캐서린 크루즈,빌라 프레지던트,"29,150,000",2025-12-25,2025-12-30,신용카드,
R2931,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-25,2025-12-30,신용카드,
R2932,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-25,2025-12-30,베트남동,
R2933,1박2일,아동,캐서린 크루즈,프리미어 스위트 (1층),"3,200,000",2025-12-25,2025-12-30,베트남동,
R2934,1박2일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"3,200,000",2025-12-25,2025-12-30,베트남동,
R2935,1박2일,아동,캐서린 크루즈,프리미어 스위트 (2층),"3,200,000",2025-12-25,2025-12-30,베트남동,
R2936,1박2일,아동,캐서린 크루즈,프리미어 스위트 (3층),"3,200,000",2025-12-25,2025-12-30,베트남동,
R2937,1박2일,아동,캐서린 크루즈,로얄 스위트,"3,200,000",2025-12-25,2025-12-30,베트남동,
R2938,1박2일,아동,캐서린 크루즈,그랜드 스위트,"3,200,000",2025-12-25,2025-12-30,베트남동,
R2939,1박2일,아동,캐서린 크루즈,빌라 프레지던트,"3,200,000",2025-12-25,2025-12-30,베트남동,
R2940,1박2일,아동,캐서린 크루즈,프리미어 스위트 (1층),"3,300,000",2025-12-25,2025-12-30,신용카드,
R2941,1박2일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"3,300,000",2025-12-25,2025-12-30,신용카드,
R2942,1박2일,아동,캐서린 크루즈,프리미어 스위트 (2층),"3,300,000",2025-12-25,2025-12-30,신용카드,
R2943,1박2일,아동,캐서린 크루즈,프리미어 스위트 (3층),"3,300,000",2025-12-25,2025-12-30,신용카드,
R2944,1박2일,아동,캐서린 크루즈,로얄 스위트,"3,300,000",2025-12-25,2025-12-30,신용카드,
R2945,1박2일,아동,캐서린 크루즈,그랜드 스위트,"3,300,000",2025-12-25,2025-12-30,신용카드,
R2946,1박2일,아동,캐서린 크루즈,빌라 프레지던트,"3,500,000",2025-12-25,2025-12-30,신용카드,
R2947,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"4,600,000",2025-12-25,2025-12-30,베트남동,
R2948,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"4,700,000",2025-12-25,2025-12-30,신용카드,
R2949,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"4,850,000",2025-12-25,2025-12-30,베트남동,
R2950,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"5,000,000",2025-12-25,2025-12-30,신용카드,
R2951,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"5,100,000",2025-12-25,2025-12-30,베트남동,
R2952,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"5,250,000",2025-12-25,2025-12-30,신용카드,
R2953,1박2일,엑스트라,캐서린 크루즈,로얄 스위트,"6,450,000",2025-12-25,2025-12-30,베트남동,
R2954,1박2일,엑스트라,캐서린 크루즈,로얄 스위트,"6,700,000",2025-12-25,2025-12-30,신용카드,
R2955,1박2일,엑스트라,캐서린 크루즈,그랜드 스위트,"7,200,000",2025-12-25,2025-12-30,베트남동,
R2956,1박2일,엑스트라,캐서린 크루즈,그랜드 스위트,"7,500,000",2025-12-25,2025-12-30,신용카드,
R2957,1박2일,엑스트라,캐서린 크루즈,빌라 프레지던트,"13,700,000",2025-12-25,2025-12-30,베트남동,
R2958,1박2일,엑스트라,캐서린 크루즈,빌라 프레지던트,"14,200,000",2025-12-25,2025-12-30,신용카드,
R2959,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-25,2025-12-30,신용카드,
R2960,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-25,2025-12-30,베트남동,
R2961,2박3일,성인,캐서린 크루즈,프리미어 스위트 (1층),"10,600,000",2025-12-25,2025-12-30,신용카드,
R2962,2박3일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"10,600,000",2025-12-25,2025-12-30,신용카드,
R2963,2박3일,성인,캐서린 크루즈,프리미어 스위트 (2층),"11,200,000",2025-12-25,2025-12-30,신용카드,
R2964,2박3일,성인,캐서린 크루즈,프리미어 스위트 (3층),"11,600,000",2025-12-25,2025-12-30,신용카드,
R2965,2박3일,성인,캐서린 크루즈,로얄 스위트,"15,000,000",2025-12-25,2025-12-30,신용카드,
R2966,2박3일,성인,캐서린 크루즈,그랜드 스위트,"16,700,000",2025-12-25,2025-12-30,신용카드,
R2967,2박3일,성인,캐서린 크루즈,빌라 프레지던트,"31,600,000",2025-12-25,2025-12-30,신용카드,
R2968,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"16,900,000",2025-12-25,2025-12-30,신용카드,
R2969,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"17,800,000",2025-12-25,2025-12-30,신용카드,
R2970,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"18,700,000",2025-12-25,2025-12-30,신용카드,
R2971,2박3일,싱글차지,캐서린 크루즈,로얄 스위트,"25,000,000",2025-12-25,2025-12-30,신용카드,
R2972,2박3일,싱글차지,캐서린 크루즈,그랜드 스위트,"28,200,000",2025-12-25,2025-12-30,신용카드,
R2973,2박3일,싱글차지,캐서린 크루즈,빌라 프레지던트,"58,300,000",2025-12-25,2025-12-30,신용카드,
R2974,2박3일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-25,2025-12-30,신용카드,
R2975,2박3일,아동,캐서린 크루즈,프리미어 스위트 (1층),"6,600,000",2025-12-25,2025-12-30,신용카드,
R2976,2박3일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"6,600,000",2025-12-25,2025-12-30,신용카드,
R2977,2박3일,아동,캐서린 크루즈,프리미어 스위트 (2층),"6,600,000",2025-12-25,2025-12-30,신용카드,
R2978,2박3일,아동,캐서린 크루즈,프리미어 스위트 (3층),"6,600,000",2025-12-25,2025-12-30,신용카드,
R2979,2박3일,아동,캐서린 크루즈,로얄 스위트,"6,600,000",2025-12-25,2025-12-30,신용카드,
R2980,2박3일,아동,캐서린 크루즈,그랜드 스위트,"6,600,000",2025-12-25,2025-12-30,신용카드,
R2981,2박3일,아동,캐서린 크루즈,빌라 프레지던트,"7,000,000",2025-12-25,2025-12-30,신용카드,
R2982,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"9,400,000",2025-12-25,2025-12-30,신용카드,
R2983,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"10,000,000",2025-12-25,2025-12-30,신용카드,
R2984,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"10,500,000",2025-12-25,2025-12-30,신용카드,
R2985,2박3일,엑스트라,캐서린 크루즈,로얄 스위트,"13,400,000",2025-12-25,2025-12-30,신용카드,
R2986,2박3일,엑스트라,캐서린 크루즈,그랜드 스위트,"15,000,000",2025-12-25,2025-12-30,신용카드,
R2987,2박3일,엑스트라,캐서린 크루즈,빌라 프레지던트,"28,400,000",2025-12-25,2025-12-30,신용카드,
R2988,2박3일,엑스트라,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-25,2025-12-30,신용카드,
R2989,1박2일,성인,캐서린 크루즈,프리미어 스위트 (1층),"6,600,000",2025-12-31,2025-12-31,베트남동,
R2990,1박2일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"6,600,000",2025-12-31,2025-12-31,베트남동,
R2991,1박2일,성인,캐서린 크루즈,프리미어 스위트 (1층),"6,800,000",2025-12-31,2025-12-31,신용카드,
R2992,1박2일,성인,캐서린 크루즈,프리미어 스위트 트리플 (1층),"6,800,000",2025-12-31,2025-12-31,신용카드,
R2993,1박2일,성인,캐서린 크루즈,프리미어 스위트 (2층),"6,850,000",2025-12-31,2025-12-31,베트남동,
R2994,1박2일,성인,캐서린 크루즈,프리미어 스위트 (2층),"7,100,000",2025-12-31,2025-12-31,신용카드,
R2995,1박2일,성인,캐서린 크루즈,프리미어 스위트 (3층),"7,100,000",2025-12-31,2025-12-31,베트남동,
R2996,1박2일,성인,캐서린 크루즈,프리미어 스위트 (3층),"7,300,000",2025-12-31,2025-12-31,신용카드,
R2997,1박2일,성인,캐서린 크루즈,로얄 스위트,"8,600,000",2025-12-31,2025-12-31,베트남동,
R2998,1박2일,성인,캐서린 크루즈,로얄 스위트,"9,000,000",2025-12-31,2025-12-31,신용카드,
R2999,1박2일,성인,캐서린 크루즈,그랜드 스위트,"9,400,000",2025-12-31,2025-12-31,베트남동,
R3000,1박2일,성인,캐서린 크루즈,그랜드 스위트,"9,850,000",2025-12-31,2025-12-31,신용카드,
R3001,1박2일,성인,캐서린 크루즈,빌라 프레지던트,"16,700,000",2025-12-31,2025-12-31,베트남동,
R3002,1박2일,성인,캐서린 크루즈,빌라 프레지던트,"17,300,000",2025-12-31,2025-12-31,신용카드,
R3003,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"9,600,000",2025-12-31,2025-12-31,베트남동,
R3004,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (1층),"9,950,000",2025-12-31,2025-12-31,신용카드,
R3005,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"10,100,000",2025-12-31,2025-12-31,베트남동,
R3006,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (2층),"10,400,000",2025-12-31,2025-12-31,신용카드,
R3007,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"10,600,000",2025-12-31,2025-12-31,베트남동,
R3008,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 (3층),"10,850,000",2025-12-31,2025-12-31,신용카드,
R3009,1박2일,싱글차지,캐서린 크루즈,로얄 스위트,"13,600,000",2025-12-31,2025-12-31,베트남동,
R3010,1박2일,싱글차지,캐서린 크루즈,로얄 스위트,"14,000,000",2025-12-31,2025-12-31,신용카드,
R3011,1박2일,싱글차지,캐서린 크루즈,그랜드 스위트,"15,200,000",2025-12-31,2025-12-31,베트남동,
R3012,1박2일,싱글차지,캐서린 크루즈,그랜드 스위트,"15,600,000",2025-12-31,2025-12-31,신용카드,
R3013,1박2일,싱글차지,캐서린 크루즈,빌라 프레지던트,"30,100,000",2025-12-31,2025-12-31,베트남동,
R3014,1박2일,싱글차지,캐서린 크루즈,빌라 프레지던트,"30,650,000",2025-12-31,2025-12-31,신용카드,
R3015,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-31,2025-12-31,신용카드,
R3016,1박2일,싱글차지,캐서린 크루즈,프리미어 스위트 트리플 (1층),불가,2025-12-31,2025-12-31,베트남동,
R3017,1박2일,아동,캐서린 크루즈,프리미어 스위트 (1층),"4,700,000",2025-12-31,2025-12-31,베트남동,
R3018,1박2일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"4,700,000",2025-12-31,2025-12-31,베트남동,
R3019,1박2일,아동,캐서린 크루즈,프리미어 스위트 (2층),"4,700,000",2025-12-31,2025-12-31,베트남동,
R3020,1박2일,아동,캐서린 크루즈,프리미어 스위트 (3층),"4,700,000",2025-12-31,2025-12-31,베트남동,
R3021,1박2일,아동,캐서린 크루즈,로얄 스위트,"4,700,000",2025-12-31,2025-12-31,베트남동,
R3022,1박2일,아동,캐서린 크루즈,그랜드 스위트,"4,700,000",2025-12-31,2025-12-31,베트남동,
R3023,1박2일,아동,캐서린 크루즈,빌라 프레지던트,"4,700,000",2025-12-31,2025-12-31,베트남동,
R3024,1박2일,아동,캐서린 크루즈,프리미어 스위트 (1층),"4,800,000",2025-12-31,2025-12-31,신용카드,
R3025,1박2일,아동,캐서린 크루즈,프리미어 스위트 트리플 (1층),"4,800,000",2025-12-31,2025-12-31,신용카드,
R3026,1박2일,아동,캐서린 크루즈,프리미어 스위트 (2층),"4,800,000",2025-12-31,2025-12-31,신용카드,
R3027,1박2일,아동,캐서린 크루즈,프리미어 스위트 (3층),"4,800,000",2025-12-31,2025-12-31,신용카드,
R3028,1박2일,아동,캐서린 크루즈,로얄 스위트,"4,800,000",2025-12-31,2025-12-31,신용카드,
R3029,1박2일,아동,캐서린 크루즈,그랜드 스위트,"4,800,000",2025-12-31,2025-12-31,신용카드,
R3030,1박2일,아동,캐서린 크루즈,빌라 프레지던트,"5,000,000",2025-12-31,2025-12-31,신용카드,
R3031,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"6,100,000",2025-12-31,2025-12-31,베트남동,
R3032,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (1층),"6,200,000",2025-12-31,2025-12-31,신용카드,
R3033,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"6,350,000",2025-12-31,2025-12-31,베트남동,
R3034,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (2층),"6,500,000",2025-12-31,2025-12-31,신용카드,
R3035,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"6,600,000",2025-12-31,2025-12-31,베트남동,
R3036,1박2일,엑스트라,캐서린 크루즈,프리미어 스위트 (3층),"6,750,000",2025-12-31,2025-12-31,신용카드,
